Sales Person,Country,Product,Date,Amount ($),Boxes Shipped
Inês Ferreira,France,Sunday Riley Saturn Sulfur Acne Treatment Mask 20ml,2023-06-26,7595.13,72
Mariana Cruz,Poland,REN Clean Skincare Overnight Glow Dark Spot Sleeping Cream 200ml,2020-02-04,8537.0,147
Leonor Coelho,United States,Estée Lauder Resilience Lift Firming & Sculpting Eye Cream 100ml,2022-10-09,6495.18,123
Sara Fernandes,Italy,CeraVe Skin Renewing Night Cream 30g,2021-04-26,8147.78,146
Mariana Mendes,Germany,CeraVe Hydrating Cleanser 60ml,2024-05-06,9567.96,109
Martim Marques,Japan,Murad Cellular Hydration Barrier Repair Cream 150ml,2023-05-04,9123.71,105
Matilde Cruz,India,Estée Lauder Revitalizing Supreme+ Moisturizer 15ml,2024-11-01,7774.95,114
Laura Ribeiro,Indonesia,Olay Retinol24 Night Moisturizer 340g,2023-03-31,500.39,14
Inês Cruz,Chile,Skinceuticals Physical Fusion UV Defense SPF 50 30ml,2023-09-29,1275.67,37
Sofia Jesus,Germany,Sunday Riley UFO Ultra-Clarifying Face Oil 340g,2024-09-12,5618.76,144
Ana Ferreira,Philippines,La Roche-Posay Cicaplast Baume B5 125ml,2020-08-02,6349.92,89
Sofia Martins,Sweden,REN Clean Skincare Evercalm Global Protection Day Cream 20ml,2023-07-17,3203.15,34
Rodrigo Teixeira,Germany,Paula's Choice BOOST 10% Niacinamide Booster 20ml,2024-10-04,11902.89,177
Margarida Mendes,Thailand,CeraVe Eye Repair Cream 125ml,2021-05-28,1590.68,131
Afonso Jesus,Thailand,CeraVe PM Facial Moisturising Lotion 30g,2021-03-21,4457.74,138
Pedro Cruz,France,Pixi Rose Ceramide Cream 60ml,2021-06-02,4709.81,57
João Nunes,Chile,Estée Lauder Re-Nutriv Ultimate Lift Age-Correcting Crème 75ml,2022-11-11,4021.7,42
Guilherme Neves,Thailand,COSRX AHA/BHA Clarifying Treatment Toner 50ml,2023-05-17,30173.46,309
Rodrigo Moreira,Singapore,Olay Vitamin C + Peptide 24 Face Moisturizer 125ml,2021-11-22,6668.64,275
Lucas Coelho,Canada,Clinique Turnaround Overnight Revitalizing Moisturizer 250ml,2022-07-26,5226.13,90
Inês Martins,United Kingdom,Neutrogena Norwegian Formula Face Cream 20ml,2021-01-27,1238.56,104
Leonor Marques,Colombia,Estée Lauder Resilience Lift Firming & Sculpting Eye Cream 75ml,2023-10-17,2909.06,58
Tomás Martins,Italy,REN Clean Skincare Perfect Canvas Clean Primer 340g,2024-09-11,6097.73,183
Sofia Carvalho,Poland,CeraVe PM Facial Moisturising Lotion 75ml,2022-09-09,19559.74,306
Mariana Soares,Brazil,Clinique Even Better Clinical Radical Dark Spot Corrector 50ml,2023-11-25,3170.5,69
Laura Soares,South Korea,CeraVe Healing Ointment 150ml,2022-05-19,5947.1,131
Martim Ferreira,Spain,Sunday Riley UFO Ultra-Clarifying Face Oil 125ml,2020-12-27,7555.68,142
Maria Moreira,Germany,Paula's Choice SKIN PERFECTING 2% BHA Liquid Exfoliant 75ml,2020-02-03,22479.47,245
Joana Santos,China,CeraVe PM Facial Moisturising Lotion 50ml,2023-10-11,9457.07,84
Afonso Vieira,China,CeraVe Renewing SA Cream 56.7g,2023-11-20,6830.85,119
Mariana Cruz,Italy,La Roche-Posay Lipikar Balm AP+ 125ml,2021-02-10,4406.04,50
Laura Soares,Canada,La Roche-Posay Toleriane Double Repair Moisturiser 60ml,2022-03-11,5667.63,449
Rafael Pereira,Singapore,Sunday Riley Auto Correct Brightening and Depuffing Eye Contour Cream 40ml,2021-06-14,2360.1,36
Sofia Mendes,Spain,Estée Lauder Resilience Lift Firming & Sculpting Eye Cream 50ml,2020-05-09,3980.38,77
Tiago Cardoso,Spain,Tatcha The Water Cream 40ml,2021-10-03,3171.25,143
Afonso Jesus,France,Clinique Take The Day Off Cleansing Balm 125ml,2020-09-21,2719.19,44
Mariana Soares,Germany,REN Clean Skincare Radiance Perfection Serum 340g,2023-01-27,24279.66,311
Francisco Almeida,South Korea,Neutrogena Rapid Wrinkle Repair Retinol Cream 60ml,2020-09-19,8274.95,77
Joana Fernandes,Netherlands,Paula's Choice CALM Redness Relief Moisturizer SPF 30 250ml,2024-09-11,5930.09,168
Afonso Sousa,India,Drunk Elephant Lala Retro Whipped Cream 150ml,2022-10-20,552.55,87
Gonçalo Ferreira,Brazil,CeraVe Moisturising Cream 50ml,2022-07-18,721.86,27
Carolina Marques,Argentina,Neutrogena Oil-Free Acne Wash 60ml,2024-05-07,49924.32,520
Gonçalo Ribeiro,United States,The Ordinary Hyaluronic Acid 2% + B5 200ml,2021-02-18,8979.59,144
Diogo Monteiro,India,First Aid Beauty Hello FAB Coconut Skin Smoothie Priming Moisturizer 30g,2021-03-19,455.96,21
Catarina Jesus,India,Neutrogena Cellular Boost Concentrate Serum 150ml,2021-01-12,4244.78,42
Afonso Neves,Poland,Sunday Riley C.E.O. 15% Vitamin C Brightening Serum 250ml,2024-09-04,5725.16,53
Margarida Mendes,Germany,Paula's Choice CLINICAL 1% Retinol Treatment 60ml,2023-07-04,1660.19,18
Ana Nunes,Netherlands,Avène Retrinal+ 0.1 Intensive Cream 20ml,2024-04-04,10858.08,137
Rodrigo Pereira,Singapore,REN Clean Skincare Ready Steady Glow Daily AHA Tonic 30g,2023-11-29,2738.07,177
Francisco Coelho,Singapore,REN Clean Skincare Ready Steady Glow Daily AHA Tonic 200ml,2023-01-03,14467.55,204
Tomás Neves,Colombia,Olay Super Serum 5-in-1 250ml,2021-06-04,9810.23,132
Afonso Monteiro,Philippines,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 340g,2024-01-15,8361.69,76
Inês Monteiro,Japan,Pixi Retinol Tonic 250ml,2023-02-14,4107.47,54
Laura Fernandes,Philippines,Bioderma Pigmentbio C-Concentrate Brightening Serum 100ml,2021-04-19,1956.28,54
Pedro Sousa,United States,COSRX Balancium B5 Biome Comfort Cream 56.7g,2022-12-18,5908.51,66
Inês Cruz,Netherlands,La Roche-Posay Toleriane Double Repair Moisturiser 250ml,2022-04-01,4975.99,51
Rafael Pereira,Colombia,Bioderma Cicabio Arnica+ Repairing Cream 100ml,2020-11-14,11367.29,150
Lucas Costa,Japan,Avène Eau Thermale Spray 30ml,2024-02-07,1588.82,55
Catarina Correia,Philippines,Murad Oil-Control Mattifier SPF45 15ml,2022-10-27,9996.48,112
Diogo Oliveira,Argentina,La Roche-Posay Lipikar Balm AP+ 15ml,2021-03-10,9519.81,138
Ana Monteiro,Netherlands,COSRX AHA/BHA Clarifying Treatment Toner 20ml,2024-05-02,30809.9,357
Gonçalo Ribeiro,Philippines,Murad AHA/BHA Exfoliating Cleanser 125ml,2020-07-02,2689.9,67
Margarida Silva,United Kingdom,Olay Regenerist Micro-Sculpting Cream 60ml,2020-11-16,6581.32,72
Guilherme Neves,Italy,Estée Lauder Re-Nutriv Ultimate Lift Age-Correcting Crème 340g,2021-01-12,159.49,25
Inês Martins,India,The Ordinary Glycolic Acid 7% Toning Solution 56.7g,2022-02-16,3606.02,65
Tomás Neves,Poland,REN Clean Skincare Clean Screen Mineral SPF30 100ml,2022-11-01,3295.51,41
Rodrigo Coelho,Sweden,Neutrogena Hydro Boost Eye Gel-Cream 340g,2024-11-21,4865.87,121
Leonor Coelho,Colombia,Avène Retrinal+ 0.1 Intensive Cream 50ml,2022-09-12,9532.88,105
Ana Vieira,Japan,Pixi Retinol Tonic 125ml,2022-08-08,2523.32,56
Rodrigo Jesus,Japan,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 56.7g,2023-05-05,10051.91,217
Sofia Mendes,Mexico,Bioderma Sensibio Light Soothing Cream 60ml,2020-03-09,10765.2,126
Catarina Monteiro,Japan,Clinique Take The Day Off Cleansing Balm 100ml,2022-02-19,12299.29,121
Tiago Carvalho,Brazil,COSRX Ultimate Moisturizing Honey Overnight Mask 100ml,2020-09-15,3708.0,41
Afonso Neves,Sweden,Sunday Riley Ice Ceramide Moisturizing Cream 100ml,2024-03-25,653.1,26
Dinis Pereira,Argentina,Sunday Riley Good Genes All-In-One Lactic Acid Treatment 50ml,2024-04-28,5193.7,74
Margarida Marques,Brazil,Pixi Retinol Tonic 40ml,2024-04-19,4145.49,61
Rafael Mendes,Thailand,First Aid Beauty Pure Skin Face Cleanser 75ml,2021-03-12,31807.73,366
Tomás Neves,Japan,Avène Hydrance Rich Rehydrating Cream 40ml,2024-08-24,16350.36,275
Miguel Rocha,Germany,Skinceuticals A.G.E. Eye Complex 50ml,2023-08-15,16158.84,363
Sofia Carvalho,Chile,First Aid Beauty Hello FAB Coconut Skin Smoothie Priming Moisturizer 56.7g,2024-06-20,27475.85,257
Rafael Gomes,Colombia,REN Clean Skincare Evercalm Global Protection Day Cream 100ml,2021-11-15,2946.28,87
Afonso Sousa,India,Bioderma Nodé Detox Shampoo 150ml,2020-01-30,1172.2,130
Laura Carvalho,Thailand,The Ordinary Natural Moisturising Factors + HA 340g,2021-11-10,4215.82,37
Laura Fernandes,Sweden,Olay Regenerist Collagen Peptide24 Serum 40ml,2023-11-14,161.86,29
Diogo Oliveira,Italy,Estée Lauder Advanced Night Repair Serum 340g,2021-10-17,3849.43,77
Martim Ferreira,United Kingdom,Sunday Riley UFO Ultra-Clarifying Face Oil 100ml,2024-09-06,4230.69,147
Gonçalo Rodrigues,Japan,Estée Lauder DayWear Multi-Protection Anti-Oxidant 24H Moisturizer SPF15 56.7g,2024-06-03,3379.48,30
Tomás Martins,Spain,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 250ml,2024-10-31,6267.37,92
Miguel Rocha,Brazil,Avène PhysioLift Night Smoothing Balm 30g,2023-02-07,7799.23,74
Margarida Teixeira,Colombia,Skinceuticals Triple Lipid Restore 2:4:2 340g,2024-11-16,2079.4,97
João Cardoso,France,First Aid Beauty Ultra Repair Tinted Moisturizer SPF 30 30g,2024-02-14,3553.9,55
Sofia Gomes,Singapore,La Roche-Posay Toleriane Double Repair Moisturiser 56.7g,2023-09-06,157.8,25
Joana Costa,Spain,COSRX Ultimate Moisturizing Honey Overnight Mask 125ml,2020-10-23,264.13,25
Afonso Monteiro,Spain,Pixi Retinol Tonic 20ml,2021-06-14,7956.85,73
Tomás Rodrigues,Brazil,Bioderma Sensibio H2O Micellar Water 250ml,2021-06-02,4365.85,120
Dinis Carvalho,Canada,Olay Luminous Whip Face Moisturiser 340g,2020-12-26,755.49,10
Diogo Costa,Chile,Avène Antirougeurs Jour Redness Relief Cream 30ml,2022-09-29,9203.39,258
Dinis Silva,United Kingdom,Skinceuticals Metacell Renewal B3 75ml,2022-05-26,16509.15,345
Sara Ferreira,Poland,Pixi Hydrating Milky Serum 20ml,2024-12-25,1976.27,82
Laura Costa,Chile,Kiehl's Ultra Facial Cream 15ml,2022-08-14,3519.92,62
Margarida Marques,Philippines,COSRX AHA/BHA Clarifying Treatment Toner 100ml,2020-12-23,2140.35,18
Beatriz Marques,Sweden,Skinceuticals C E Ferulic Serum 100ml,2020-05-24,1387.93,32
Gonçalo Fernandes,Canada,COSRX Advanced Snail 96 Mucin Power Essence 150ml,2020-06-01,2581.48,27
Martim Silva,France,COSRX Balancium B5 Biome Comfort Cream 15ml,2024-05-14,24622.84,312
Afonso Martins,Sweden,Murad Hydro-Dynamic Ultimate Moisture 20ml,2022-08-18,15118.63,168
Inês Cardoso,Spain,Bioderma Nodé Detox Shampoo 75ml,2023-11-12,5200.8,89
Joana Costa,Thailand,Sunday Riley Ice Ceramide Moisturizing Cream 30g,2023-07-30,3735.42,65
Rafael Pereira,South Korea,Tatcha The Silk Cream 200ml,2021-10-09,3535.47,70
Tomás Martins,France,REN Clean Skincare Ready Steady Glow Daily AHA Tonic 50ml,2022-05-02,987.78,64
Rafael Martins,Japan,First Aid Beauty Ultra Repair Tinted Moisturizer SPF 30 15ml,2024-06-10,3178.86,56
Leonor Rodrigues,India,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 56.7g,2024-09-22,1186.05,29
Tomás Neves,Canada,Drunk Elephant Protini Polypeptide Cream 40ml,2021-03-03,11933.18,142
Laura Carvalho,United States,Estée Lauder Perfectly Clean Multi-Action Foam Cleanser 15ml,2023-10-21,25558.44,261
Pedro Cruz,South Korea,Kiehl's Ultra Facial Cream 20ml,2020-09-23,513.53,128
Sofia Martins,Japan,Kiehl's Clearly Corrective Dark Spot Solution 150ml,2024-06-11,30592.22,465
Ana Vieira,Canada,First Aid Beauty Ultra Repair Firming Collagen Cream 30ml,2020-12-16,3425.16,70
Tomás Coelho,Argentina,Neutrogena Bright Boost Gel Cream 125ml,2023-04-14,9636.11,117
Afonso Jesus,United States,Tatcha The Indigo Overnight Repair Treatment 150ml,2022-02-27,1609.94,57
Dinis Carvalho,Brazil,REN Clean Skincare Perfect Canvas Clean Primer 125ml,2023-05-14,5614.39,60
Clara Cardoso,France,REN Clean Skincare V-Cense Revitalising Eye Cream 125ml,2020-09-28,3215.53,168
Ana Nunes,Poland,Tatcha The Rice Polish Foaming Enzyme Powder 125ml,2021-12-04,36063.36,364
Lucas Costa,France,The Ordinary Buffet Multi-Technology Peptide Serum 30g,2023-06-05,37212.17,428
Miguel Martins,Philippines,Avène PhysioLift Night Smoothing Balm 125ml,2020-09-13,31677.73,427
Afonso Vieira,Chile,REN Clean Skincare Overnight Glow Dark Spot Sleeping Cream 20ml,2024-03-18,1320.29,17
Lucas Costa,United States,Bioderma Nodé Detox Shampoo 340g,2020-01-30,6972.67,106
João Martins,China,First Aid Beauty KP Bump Eraser Body Scrub 125ml,2023-02-23,1736.42,33
Margarida Silva,South Korea,Olay Luminous Whip Face Moisturiser 100ml,2023-05-25,3706.92,56
Sofia Rodrigues,Argentina,Pixi Skintreats Rose Caviar Eye Cream 125ml,2024-06-14,11601.08,141
Inês Ferreira,Thailand,CeraVe Hydrating Cleanser 30g,2021-09-16,14559.22,139
Matilde Moreira,Singapore,Drunk Elephant B-Hydra Intensive Hydration Serum 100ml,2024-02-28,8604.38,134
Maria Ferreira,Canada,Skinceuticals Triple Lipid Restore 2:4:2 250ml,2023-03-30,10339.55,104
Inês Cruz,Mexico,Avène Eau Thermale Spray 40ml,2023-08-10,7453.62,108
Margarida Marques,Germany,REN Clean Skincare V-Cense Revitalising Eye Cream 125ml,2021-03-03,7697.19,68
Rafael Pereira,Germany,COSRX Oil-Free Ultra-Moisturizing Lotion 40ml,2022-02-22,3357.78,128
Rodrigo Pinto,Brazil,CeraVe Hydrating Cleanser 200ml,2021-02-26,340.99,32
Clara Ferreira,China,Olay Vitamin C + Peptide 24 Face Moisturizer 340g,2023-11-12,2106.94,47
Joana Teixeira,Germany,Murad Hydro-Dynamic Ultimate Moisture 15ml,2020-06-19,2110.66,27
Joana Oliveira,Argentina,Estée Lauder Resilience Lift Firming & Sculpting Eye Cream 200ml,2024-08-21,11803.91,486
Gonçalo Fernandes,South Korea,REN Clean Skincare V-Cense Revitalising Eye Cream 250ml,2022-08-27,5897.18,186
Francisco Coelho,Singapore,Sunday Riley Tidal Brightening Enzyme Water Cream 30g,2023-04-21,557.39,93
Pedro Cruz,Argentina,First Aid Beauty KP Bump Eraser Body Scrub 60ml,2020-10-17,4535.35,114
Pedro Cruz,Spain,Estée Lauder Nutritious Super-Pomegranate Radiant Energy Eye Jelly 30ml,2021-12-19,3286.36,29
Rafael Pereira,Chile,Pixi Retinol Tonic 40ml,2022-11-30,9049.2,312
Joana Teixeira,China,COSRX Advanced Snail 92 All in One Cream 100ml,2023-10-13,5395.44,65
Sofia Nunes,Singapore,CeraVe Eye Repair Cream 30ml,2022-09-09,1052.94,14
Inês Cardoso,United Kingdom,Avène Cleanance Expert Emulsion 50ml,2023-08-20,7439.44,109
Afonso Monteiro,United Kingdom,Olay Vitamin C + Peptide 24 Face Moisturizer 15ml,2022-02-23,4472.61,101
Martim Teixeira,Singapore,Skinceuticals B5 Gel Hydrating Serum 30g,2020-03-06,2982.19,60
Laura Pereira,Argentina,Sunday Riley Good Genes All-In-One Lactic Acid Treatment 150ml,2021-10-07,31643.65,431
Tiago Jesus,United Kingdom,Bioderma Sebium Pore Refiner 340g,2021-08-28,8756.2,127
Catarina Neves,Indonesia,COSRX Balancium B5 Biome Comfort Cream 250ml,2020-02-27,3737.01,92
Gonçalo Almeida,Brazil,Drunk Elephant Protini Polypeptide Cream 200ml,2024-03-02,7366.54,91
Afonso Jesus,Poland,Paula's Choice SKIN RECOVERY Replenishing Moisturizer 250ml,2024-10-12,1539.89,21
Mariana Cruz,Germany,Neutrogena Bright Boost Gel Cream 125ml,2021-11-03,413.44,19
Matilde Teixeira,Singapore,Bioderma Pigmentbio C-Concentrate Brightening Serum 60ml,2023-03-11,1275.71,111
Dinis Carvalho,Canada,Murad Rapid Resurgence Eye Lift 60ml,2022-12-21,4607.8,49
Laura Costa,Japan,Skinceuticals Physical Fusion UV Defense SPF 50 340g,2020-08-28,8213.8,131
Afonso Monteiro,Philippines,Murad Brightening Booster 250ml,2024-02-17,3969.92,47
Tomás Coelho,Argentina,Bioderma Sensibio H2O Micellar Water 150ml,2021-04-14,11075.22,210
Ana Vieira,India,Pixi Glow Tonic 50ml,2020-02-13,5892.97,75
Rodrigo Soares,Chile,La Roche-Posay Lipikar Balm AP+ 40ml,2022-06-25,20448.51,242
Rodrigo Coelho,Brazil,Paula's Choice DEFENSE Antioxidant Pore Purifier 30ml,2021-04-09,2057.77,42
Pedro Ferreira,Philippines,Estée Lauder Perfectly Clean Multi-Action Foam Cleanser 20ml,2022-06-03,14630.0,141
Mariana Soares,Sweden,First Aid Beauty KP Bump Eraser Body Scrub 100ml,2024-01-12,45499.26,384
Joana Santos,Spain,First Aid Beauty FAB Skin Lab Resurfacing Liquid 10% AHA 250ml,2023-12-26,1783.91,52
Catarina Correia,Mexico,Kiehl's Powerful-Strength Line-Reducing Concentrate 250ml,2023-01-22,20482.85,300
Afonso Jesus,France,Avène Hydrance Rich Rehydrating Cream 75ml,2024-01-26,829.88,29
Lucas Santos,Germany,Skinceuticals Phyto Corrective Gel 40ml,2022-12-25,2222.08,31
Miguel Marques,South Korea,Drunk Elephant T.L.C. Framboos Glycolic Night Serum 250ml,2021-09-08,4497.22,139
Francisco Mendes,United Kingdom,Drunk Elephant T.L.C. Framboos Glycolic Night Serum 75ml,2024-03-01,183.79,44
Tomás Ribeiro,Indonesia,The Ordinary Glycolic Acid 7% Toning Solution 15ml,2021-10-29,4361.36,140
Sofia Jesus,Canada,Tatcha The Silk Cream 40ml,2024-12-06,39192.95,414
Sofia Gomes,China,First Aid Beauty Ultra Repair Cream 60ml,2021-07-05,4625.3,134
Tiago Jesus,Thailand,COSRX Advanced Snail 92 All in One Cream 15ml,2020-11-26,160.79,41
Matilde Carvalho,Poland,Murad AHA/BHA Exfoliating Cleanser 150ml,2021-03-20,25475.04,252
